MSOA11CD,MSOA11NM,ZonePfSH,LAD,DELTA Macrozone,DELTA FMA+B?,Proportions MSOA/Zones
E02003551,Southampton 003,243,Southampton,3,F,1.38954E-07
E02003551,Southampton 003,223,Southampton,3,F,4.1299E-07
E02003551,Southampton 003,110,Southampton,3,F,7.84301E-07
E02003551,Southampton 003,102,Southampton,3,F,1.68395E-07
E02003551,Southampton 003,101,Southampton,3,F,2.08205E-06
E02003551,Southampton 003,100,Southampton,3,F,0.131221022
E02003551,Southampton 003,99,Southampton,3,F,0.32976
E02003551,Southampton 003,98,Southampton,3,F,0.228492676
E02003551,Southampton 003,97,Southampton,3,F,0.310412822
E02003551,Southampton 003,96,Southampton,3,F,4.47105E-07
E02003551,Southampton 003,94,Southampton,3,F,1.74903E-07
